Redo	重做	重做已復原的動作
Generate	產生	勿用「生成」
Preview	預覽	預覽內容
Verify	驗證	驗證網域或身分
Sync	同步	同步資料
Merge	合併	合併分支或內容
Merge conflict	合併衝突	Git 合併衝突
Report (content)	檢舉	檢舉不當內容
Report (analytics)	報表	使用量或支出報表
Default	預設	勿用「默認」
Custom	自訂	自訂設定，勿用「客製」以外語境
Advanced	進階	進階設定
Optional	選填	表單欄位用語
Required	必填	表單欄位用語
Available	可用	可用狀態
Unavailable	無法使用	不可用狀態
Active	使用中	啟用中或使用中
Inactive	未使用	未使用狀態
Loading	載入中	載入中狀態
Processing	處理中	處理中狀態
Error	錯誤	錯誤訊息
Warning	警告	警告訊息
Failed	失敗	Failed to X → X 失敗
Try again	請再試一次	標準錯誤補述句
Something went wrong	發生錯誤	勿直譯「有東西出錯了」
Learn more	瞭解詳情	標準說明連結文案
Get support	取得支援	聯絡支援
Help	說明	說明選單
Documentation	說明文件	線上說明文件
Feedback	意見回饋	使用者意見回饋
Status	狀態	狀態欄位
Details	詳細資料	詳細資料頁或欄位
Overview	總覽	總覽頁
More	更多	更多選項
Version	版本	版本號
Beta	Beta	保留英文
Data	資料	勿用「數據」，統計語境除外
Information	資訊	勿用「信息」
Quality	品質	勿用「質量」
Performance	效能	系統效能
Debug	偵錯	偵錯功能
Developer mode	開發人員模式	開發人員模式開關
Diagnostics	診斷	診斷報告
Crash	當機	應用程式當機
Hardware acceleration	硬體加速	圖形硬體加速
Log	記錄	記錄內容
Log file	記錄檔	記錄檔案
Repository	儲存庫	Git 儲存庫
Branch (Git)	分支	Git 分支
Commit	提交	Git 語境；勿譯「承諾」
Pull request	Pull Request	台灣開發者慣用英文，可簡稱 PR
Diff	差異	檔案差異比較
Code	程式碼	程式碼內容
Program	程式	一般程式
Software	軟體	勿用「软件」式譯法
Command	指令	命令列指令
Script	指令碼	指令碼檔案
Snapshot	快照	狀態快照
Bundle	套組	debug bundle → 偵錯套組
Queue	佇列	等待佇列
Schedule	排程	排定執行時間
Trigger	觸發條件	觸發條件設定
Daily	每日	頻率選項
Weekly	每週	頻率選項
Monthly	每月	頻率選項
Annual	每年	年繳或年度
Time zone	時區	時區設定
Date	日期	日期欄位
Time	時間	時間欄位
Name	名稱	名稱欄位
Email	電子郵件	電子郵件，勿用「郵箱」
Email address	電子郵件地址	完整欄位標籤
Bold	粗體	文字格式
Heading	標題	文字格式標題
Blockquote	引文區塊	引文格式
Line	行	程式碼行號語境
Personalization	個人化	個人化設定
Dashboard	儀表板	管理儀表板
Metric	指標	統計指標
Insight	洞察	分析洞察
Chart	圖表	統計圖表
Onboarding	新手引導	首次使用引導流程
Full screen	全螢幕	全螢幕模式
No X yet	尚無…	空狀態句型，如 No runs yet → 尚無執行紀錄
SSH agent	SSH 代理程式	ssh-agent；必帶 SSH 前綴，勿與 Claude 的「代理程式」功能混淆
Effort	強度	推理強度層級：低／中／高／最高；勿譯「努力程度」
Max effort	最高強度	effort 的頂層；與「高」同屬一組刻度，勿用「最大強度」
You (second person)	您	介面一律用「您」；既有譯文 您:你 = 5024:543
